Freq [GHz],Phase [deg],Distance [mm],Mag_E [V_per_meter]
2.4,90,0.0,0.270993737636224
2.4,90,2.40004,0.241805519406257
2.4,90,4.80008,0.203988400906656
2.4,90,7.20012,0.166925222746483
2.4,90,9.60016,0.132446526070231
2.4,90,12.0002,0.0870793006826553
2.4,90,14.40024,0.0349769597833617
2.4,90,16.80028,0.0019087922305166
2.4,90,19.20032,0.0372655189055307
2.4,90,21.60036,0.102392724865655
2.4,90,24.0004,0.138303545317815
2.4,90,26.40044,0.172753030948359
2.4,90,28.80048,0.207154462639117
2.4,90,31.20052,0.241560658214138
2.4,90,33.60056,0.275934185758135
2.4,90,36.0006,0.307625319145362
2.4,90,38.40064,0.328884895689859
2.4,90,40.80068,0.34660310794375
2.4,90,43.20072,0.360778321885928
2.4,90,45.60076,0.371409745516519
2.4,90,48.0008,0.378497428856886
2.4,90,50.40084,0.37378419642146
2.4,90,52.80088,0.366449777953217
2.4,90,55.20092,0.355487130503239
2.4,90,57.60096,0.340896472320364
2.4,90,60.001,0.322865302522089
2.4,90,62.40104,0.309698482419662
2.4,90,64.80108,0.327617220646257
2.4,90,67.20112,0.3526655263077
2.4,90,69.60116,0.384821788245597
2.4,90,72.0012,0.424075258014208
2.4,90,74.40124,0.470426049880427
2.4,90,76.80128,0.5238851408238
2.4,90,79.20132,0.584474370536518
2.4,90,81.60136,0.686511187090955
2.4,90,84.0014,0.775342732736585
2.4,90,86.40144,0.85324130776953
2.4,90,88.80148,0.920207865284053
2.4,90,91.20152,0.969076718176769
2.4,90,93.60156,0.99434000444484
2.4,90,96.0016,0.995493575034347
2.4,90,98.40164,0.952175550197864
2.4,90,100.80168,0.869365820188906
2.4,90,103.20172,0.751760155424855
2.4,90,105.60176,0.595616888905363
2.4,90,108.0018,0.414065086770803
2.4,90,110.40184,0.186132141478031
2.4,90,112.80188,0.103184046748265
2.4,90,115.20192,0.241800684955292
2.4,90,117.60196,0.466223547303625
2.4,90,120.002,0.691017734577968
2.4,90,122.40204,0.881071957143211
2.4,90,124.80208,1.05159853494443
2.4,90,127.20212,1.25108928095526
2.4,90,129.60216,1.40973571377316
2.4,90,132.0022,1.54808058027725
2.4,90,134.40224,1.66148165617098
2.4,90,136.80228,1.74840646365255
2.4,90,139.20232,1.81118085796856
2.4,90,141.60236,1.84980508502957
2.4,90,144.0024,1.86427954379117
2.4,90,146.40244,1.85314366208455
2.4,90,148.80248,1.81004274796667
2.4,90,151.20252,1.73316464810923
2.4,90,153.60256,1.63744227603156
2.4,90,156.0026,1.52287763261149
2.4,90,158.40264,1.38947216188308
2.4,90,160.80268,1.23722675103667
2.4,90,163.20272,1.06657302773583
2.4,90,165.60276,0.902514149923092
2.4,90,168.0028,0.628325140758508
2.4,90,170.40284,0.32121824238643
2.4,90,172.80288,0.129554694652038
2.4,90,175.20292,0.0806269440761727
2.4,90,177.60296,0.175972181634658
2.4,90,180.003,0.391372342758304
2.4,90,182.40304,0.676854107332921
2.4,90,184.80308,0.956688899699299
2.4,90,187.20312,1.12939288865322
2.4,90,189.60316,1.25047854357514
2.4,90,192.0032,1.40584555276361
2.4,90,194.40324,1.5414642362072
2.4,90,196.80328,1.65507483553156
2.4,90,199.20332,1.74211181630481
2.4,90,201.60336,1.80475391462834
2.4,90,204.0034,1.84310246022772
2.4,90,206.40344,1.85843799806288
2.4,90,208.80348,1.85221167314897
2.4,90,211.20352,1.80869626976031
2.4,90,213.60356,1.73854056198927
2.4,90,216.0036,1.64493278344131
2.4,90,218.40364,1.52772533259819
2.4,90,220.80368,1.3873521697964
2.4,90,223.20372,1.22714952970799
2.4,90,225.60376,1.05106259723231
2.4,90,228.0038,
2.4,90,230.40384,
2.4,90,232.80388,
2.4,90,235.20392,
2.4,90,237.60396,
2.4,90,240.004,
