Freq [GHz],Phase [deg],Distance [mm],Mag_E [V_per_meter]
2.4,90,0.0,0.301561550017902
2.4,90,2.40004,0.152358848255689
2.4,90,4.80008,0.0503221050738937
2.4,90,7.20012,0.160102684541843
2.4,90,9.60016,0.303057043492937
2.4,90,12.0002,0.448888979706084
2.4,90,14.40024,0.587544218391292
2.4,90,16.80028,0.721252795085724
2.4,90,19.20032,0.846490256594283
2.4,90,21.60036,0.960105713988666
2.4,90,24.0004,1.0467920298549
2.4,90,26.40044,1.11904763959547
2.4,90,28.80048,1.17798347660224
2.4,90,31.20052,1.22360245379018
2.4,90,33.60056,1.2559015187205
2.4,90,36.0006,1.26886129175885
2.4,90,38.40064,1.25498408027389
2.4,90,40.80068,1.22718487233349
2.4,90,43.20072,1.18546667072529
2.4,90,45.60076,1.12982915955823
2.4,90,48.0008,1.0602687042625
2.4,90,50.40084,0.961514628766153
2.4,90,52.80088,0.832484925238026
2.4,90,55.20092,0.685317417182682
2.4,90,57.60096,0.520020853130288
2.4,90,60.001,0.336119254681268
2.4,90,62.40104,0.118695945196484
2.4,90,64.80108,0.139674883833177
2.4,90,67.20112,0.28760334092585
2.4,90,69.60116,0.471551566567938
2.4,90,72.0012,0.633867360603628
2.4,90,74.40124,0.750176072627848
2.4,90,76.80128,0.829380601986281
2.4,90,79.20132,0.91366139777536
2.4,90,81.60136,0.935484875597018
2.4,90,84.0014,0.863236376144149
2.4,90,86.40144,0.754922733819576
2.4,90,88.80148,0.607591492428268
2.4,90,91.20152,0.407930899907092
2.4,90,93.60156,0.186898010759391
2.4,90,96.0016,0.0631710128380663
2.4,90,98.40164,0.286675946223948
2.4,90,100.80168,0.496765088139598
2.4,90,103.20172,0.672922301428388
2.4,90,105.60176,0.811595899604108
2.4,90,108.0018,0.912775725937017
2.4,90,110.40184,0.949732784557133
2.4,90,112.80188,0.937976039455914
2.4,90,115.20192,0.915924012340921
2.4,90,117.60196,0.883574465772184
2.4,90,120.002,0.840926275554217
2.4,90,122.40204,0.787979430735995
2.4,90,124.80208,0.724735033610965
2.4,90,127.20212,0.650773658862836
2.4,90,129.60216,0.564138386270728
2.4,90,132.0022,0.451401512479863
2.4,90,134.40224,0.367038292194751
2.4,90,136.80228,0.262342059936166
2.4,90,139.20232,0.150634821392638
2.4,90,141.60236,0.0617551423579643
2.4,90,144.0024,0.033135099439236
2.4,90,146.40244,0.109745069752003
2.4,90,148.80248,0.292710566530186
2.4,90,151.20252,0.399119301256764
2.4,90,153.60256,0.498676898664008
2.4,90,156.0026,0.591381589667704
2.4,90,158.40264,0.677232445496094
2.4,90,160.80268,0.756229377689878
2.4,90,163.20272,0.829442578837553
2.4,90,165.60276,0.881832730394227
2.4,90,168.0028,0.90931533633853
2.4,90,170.40284,0.923888885577384
2.4,90,172.80288,0.928190060813353
2.4,90,175.20292,0.922223704721833
2.4,90,177.60296,0.905996427502819
2.4,90,180.003,0.87951660688091
2.4,90,182.40304,0.842794388105311
2.4,90,184.80308,0.795841683949825
2.4,90,187.20312,0.738672174712865
2.4,90,189.60316,0.653808932703337
2.4,90,192.0032,0.563366826225964
2.4,90,194.40324,0.473905994043812
2.4,90,196.80328,0.379986866162839
2.4,90,199.20332,0.27371987482594
2.4,90,201.60336,0.151526139006024
2.4,90,204.0034,0.0457577384845573
2.4,90,206.40344,0.0470091276486122
2.4,90,208.80348,0.183317517161402
2.4,90,211.20352,0.292866828561988
2.4,90,213.60356,0.3960971223441
2.4,90,216.0036,0.493932521825038
2.4,90,218.40364,0.586099131750814
2.4,90,220.80368,0.671058509154123
2.4,90,223.20372,0.744460267636567
2.4,90,225.60376,0.808384064589994
2.4,90,228.0038,
2.4,90,230.40384,
2.4,90,232.80388,
2.4,90,235.20392,
2.4,90,237.60396,
2.4,90,240.004,
